block_id,block_name,service_name,rank_in_block
6,MADARIHAT-BIRPARA,Application for Income Certificates,5
6,MADARIHAT-BIRPARA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,6
7,BANKURA I,Search - Application Status of Digital Ration Card Application,1
7,BANKURA I,Apply - Payment of WBSEDCL Electricity Bill,2
7,BANKURA I,Caste Certificate,3
7,BANKURA I,Search - Download of e-Ration Card,4
7,BANKURA I,Application for Income Certificates,5
7,BANKURA I,Apply - OPD Registration,6
8,BANKURA II,Application for Income Certificates,1
8,BANKURA II,Apply - Payment of WBSEDCL Electricity Bill,2
8,BANKURA II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
8,BANKURA II,Apply - Local Residence (Domicile) Certificate,4
8,BANKURA II,Search - Download of e-Ration Card,5
8,BANKURA II,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
9,BARJORA,Search - Status of Application of Swasthya Sathi Card,1
9,BARJORA,Apply - Payment of WBSEDCL Electricity Bill,2
9,BARJORA,Application for Income Certificates,3
9,BARJORA,Search - Application Status of Digital Ration Card Application,4
9,BARJORA,Status of Application (Krishak Bandhu),5
9,BARJORA,Caste Certificate,6
10,CHHATNA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
10,CHHATNA,Apply - Payment of WBSEDCL Electricity Bill,2
10,CHHATNA,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
10,CHHATNA,Application for Income Certificates,4
10,CHHATNA,Apply - GP Certificate,5
10,CHHATNA,Search - Gram Panchayat Tax Payment,6
11,GANGAJALGHATI,Apply - Payment of WBSEDCL Electricity Bill,1
11,GANGAJALGHATI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
11,GANGAJALGHATI,Application for Income Certificates,3
11,GANGAJALGHATI,Search - GRN Information,4
11,GANGAJALGHATI,Caste Certificate,5
11,GANGAJALGHATI,Search - Status of Application of Swasthya Sathi Card,6
12,MEJIA,Application for Income Certificates,1
12,MEJIA,Apply - Payment of WBSEDCL Electricity Bill,2
12,MEJIA,Apply - ROR Application ,3
12,MEJIA,Caste Certificate,4
12,MEJIA,Search - GRN Information,5
12,MEJIA,Search - Bangla Awas Yojana,6
13,ONDA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
13,ONDA,Apply - Aadhaar & Mobile Link with Digital Ration Card,2
13,ONDA,Application for Income Certificates,3
13,ONDA,Apply - Payment of WBSEDCL Electricity Bill,4
13,ONDA,Apply - GP Certificate,5
13,ONDA,Search - Status of Application of Swasthya Sathi Card,6
14,SALTORA,Application for Income Certificates,1
14,SALTORA,Apply - Payment of WBSEDCL Electricity Bill,2
14,SALTORA,Apply - ROR Application ,3
14,SALTORA,Apply - GP Certificate,4
14,SALTORA,Caste Certificate,5
14,SALTORA,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
15,KHATRA,Caste Certificate,1
15,KHATRA,Application for Income Certificates,2
15,KHATRA,Apply - Payment of WBSEDCL Electricity Bill,3
15,KHATRA,Apply - GP Certificate,4
15,KHATRA,Payment - e-Payment Stamp Duty & Registration Fees,5
15,KHATRA,Search - Gram Panchayat Tax Payment,6
16,INDPUR,Search - Gram Panchayat Tax Payment,1
16,INDPUR,Apply - Payment of WBSEDCL Electricity Bill,2
16,INDPUR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
16,INDPUR,Application for Income Certificates,4
16,INDPUR,Apply - GP Certificate,5
16,INDPUR,Apply - ROR Application ,6
17,HIRBANDH,Application for Income Certificates,1
17,HIRBANDH,Apply - Payment of WBSEDCL Electricity Bill,2
17,HIRBANDH,Caste Certificate,3
17,HIRBANDH,Apply - GP Certificate,4
17,HIRBANDH,Apply - ROR Application ,5
17,HIRBANDH,Search - Download of e-Ration Card,6
18,RANIBANDH,Application for Income Certificates,1
18,RANIBANDH,Apply - GP Certificate,2
18,RANIBANDH,Caste Certificate,3
18,RANIBANDH,Apply - Payment of WBSEDCL Electricity Bill,4
18,RANIBANDH,Search - GRN Information,5
18,RANIBANDH,Apply - ROR Application ,6
19,RAIPUR,Payment - e-Payment Stamp Duty & Registration Fees,1
19,RAIPUR,Apply - Payment of WBSEDCL Electricity Bill,2
19,RAIPUR,Application for Income Certificates,3
19,RAIPUR,Caste Certificate,4
19,RAIPUR,Apply for Birth & Death Certificate,5
19,RAIPUR,Apply - ROR Application ,6
20,SARENGA,Apply - Payment of WBSEDCL Electricity Bill,1
20,SARENGA,Apply - ROR Application ,2
20,SARENGA,Caste Certificate,3
20,SARENGA,Application for Income Certificates,4
20,SARENGA,Search - GRN Information,5
20,SARENGA,Search - Download of e-Ration Card,6
21,SIMLAPAL,Application for Income Certificates,1
21,SIMLAPAL,Apply - Payment of WBSEDCL Electricity Bill,2
21,SIMLAPAL,Search - Download of e-Ration Card,3
21,SIMLAPAL,Search - Status of Application of Swasthya Sathi Card,4
21,SIMLAPAL,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,5
21,SIMLAPAL,Apply for Birth & Death Certificate,6
22,TALDANGRA,Apply - Payment of WBSEDCL Electricity Bill,1
22,TALDANGRA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
22,TALDANGRA,Application for Income Certificates,3
22,TALDANGRA,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
22,TALDANGRA,Search - Download of e-Ration Card,5
22,TALDANGRA,Search - GRN Information,6
23,BISHNUPUR,Apply - Payment of WBSEDCL Electricity Bill,1
23,BISHNUPUR,Application for Income Certificates,2
23,BISHNUPUR,Caste Certificate,3
23,BISHNUPUR,Apply - GP Certificate,4
23,BISHNUPUR,Apply - Aadhaar & Mobile Link with Digital Ration Card,5
23,BISHNUPUR,Search - Download of e-Ration Card,6
24,INDAS,Apply - Payment of WBSEDCL Electricity Bill,1
24,INDAS,Application for Income Certificates,2
24,INDAS,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
24,INDAS,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
24,INDAS,Search - Application Status of Digital Ration Card Application,5
24,INDAS,Search - Download of e-Ration Card,6
25,JOYPUR,Apply - Payment of WBSEDCL Electricity Bill,1
25,JOYPUR,Application for Income Certificates,2
25,JOYPUR,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
25,JOYPUR,Caste Certificate,4
25,JOYPUR,Apply - Plot Information,5
25,JOYPUR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,6
26,PATRASAYER,Apply - Payment of WBSEDCL Electricity Bill,1
26,PATRASAYER,Application for Income Certificates,2
26,PATRASAYER,Caste Certificate,3
26,PATRASAYER,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
26,PATRASAYER,Apply - New Digital Ration Card,5
26,PATRASAYER,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
27,KOTULPUR,Apply - Payment of WBSEDCL Electricity Bill,1
27,KOTULPUR,Apply - OPD Registration,2
27,KOTULPUR,Application for Income Certificates,3
27,KOTULPUR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
27,KOTULPUR,Apply - Aadhaar & Mobile Link with Digital Ration Card,5
27,KOTULPUR,Apply - Plot Information,6
28,SONAMUKHI,Apply - Payment of WBSEDCL Electricity Bill,1
28,SONAMUKHI,Application for Income Certificates,2
28,SONAMUKHI,Apply - GP Certificate,3
28,SONAMUKHI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
28,SONAMUKHI,Caste Certificate,5
28,SONAMUKHI,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
29,SURI-I,Apply - Payment of WBSEDCL Electricity Bill,1
29,SURI-I,Payment - e-Payment Stamp Duty & Registration Fees,2
29,SURI-I,Application for Income Certificates,3
29,SURI-I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
29,SURI-I,Search - Status of Application of Swasthya Sathi Card,5
29,SURI-I,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
30,SURI-II,Caste Certificate,1
30,SURI-II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
30,SURI-II,Apply - Payment of WBSEDCL Electricity Bill,3
30,SURI-II,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
30,SURI-II,Application for Income Certificates,5
30,SURI-II,Search - Status of Application of Swasthya Sathi Card,6
31,SAINTHIA,Search - Status of Application of Swasthya Sathi Card,1
31,SAINTHIA,Caste Certificate,2
31,SAINTHIA,Apply - Payment of WBSEDCL Electricity Bill,3
31,SAINTHIA,Search - Download of e-Ration Card,4
31,SAINTHIA,Search - Application Status of Digital Ration Card Application,5
31,SAINTHIA,Status of Application (Krishak Bandhu),6
32,RAJNAGAR,Apply - Payment of WBSEDCL Electricity Bill,1
32,RAJNAGAR,Application for Income Certificates,2
32,RAJNAGAR,Apply - GP Certificate,3
32,RAJNAGAR,Caste Certificate,4
32,RAJNAGAR,Search - Status of Application of Swasthya Sathi Card,5
32,RAJNAGAR,eDistrict Dashboard,6
33,KHOYRASOLE,Application for Income Certificates,1
33,KHOYRASOLE,Search - Status of Application of Swasthya Sathi Card,2
33,KHOYRASOLE,Caste Certificate,3
33,KHOYRASOLE,Search - Download of e-Ration Card,4
33,KHOYRASOLE,Apply - GP Certificate,5
33,KHOYRASOLE,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
34,DUBRAJPUR,Apply - Payment of WBSEDCL Electricity Bill,1
34,DUBRAJPUR,Caste Certificate,2
34,DUBRAJPUR,Search - Download of e-Ration Card,3
34,DUBRAJPUR,Application for Income Certificates,4
34,DUBRAJPUR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,5
34,DUBRAJPUR,Search - Status of Application of Swasthya Sathi Card,6
35,MD. BAZAR,Status of Application (Krishak Bandhu),1
35,MD. BAZAR,Search - Status of Application of Swasthya Sathi Card,2
35,MD. BAZAR,Apply - Plot Information,3
35,MD. BAZAR,Apply - Payment of WBSEDCL Electricity Bill,4
35,MD. BAZAR,Search - Bangla Shasya Bima,5
35,MD. BAZAR,Caste Certificate,6
36,BOLPUR-SRINIKETAN,Apply - Payment of WBSEDCL Electricity Bill,1
36,BOLPUR-SRINIKETAN,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
36,BOLPUR-SRINIKETAN,Application for Income Certificates,3
36,BOLPUR-SRINIKETAN,Status of Application (Krishak Bandhu),4
36,BOLPUR-SRINIKETAN,Search - Status of Application of Swasthya Sathi Card,5
36,BOLPUR-SRINIKETAN,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
37,ILLAMBAZAR,Apply - Payment of WBSEDCL Electricity Bill,1
37,ILLAMBAZAR,Application for Income Certificates,2
37,ILLAMBAZAR,Apply - GP Certificate,3
37,ILLAMBAZAR,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
37,ILLAMBAZAR,Status of Application (Krishak Bandhu),5
37,ILLAMBAZAR,Apply - Krishak Bandhu Scheme,6
38,NANOOR,Apply - Payment of WBSEDCL Electricity Bill,1
38,NANOOR,Application for Income Certificates,2
38,NANOOR,eDistrict Dashboard,3
38,NANOOR,Search - Application Status of Digital Ration Card Application,4
38,NANOOR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,5
38,NANOOR,Search - Download of e-Ration Card,6
39,LABPUR,Apply - Payment of WBSEDCL Electricity Bill,1
39,LABPUR,Search - Download of e-Ration Card,2
39,LABPUR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
39,LABPUR,Status of Application (Krishak Bandhu),4
39,LABPUR,Search - Status of Application of Swasthya Sathi Card,5
39,LABPUR,Caste Certificate,6
40,RAMPURHAT-I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
40,RAMPURHAT-I,Apply - Payment of WBSEDCL Electricity Bill,2
40,RAMPURHAT-I,Application for Income Certificates,3
40,RAMPURHAT-I,Search - Application Status of Digital Ration Card Application,4
40,RAMPURHAT-I,Caste Certificate,5
40,RAMPURHAT-I,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
41,RAMPURHAT-II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
41,RAMPURHAT-II,Apply - Payment of WBSEDCL Electricity Bill,2
41,RAMPURHAT-II,Search - Application Status of Digital Ration Card Application,3
41,RAMPURHAT-II,Search - Status of Application of Swasthya Sathi Card,4
41,RAMPURHAT-II,Search - Download of e-Ration Card,5
41,RAMPURHAT-II,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
42,NALHATI-I,Apply - Payment of WBSEDCL Electricity Bill,1
42,NALHATI-I,Application for Income Certificates,2
42,NALHATI-I,Search - Application Status of Digital Ration Card Application,3
42,NALHATI-I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
42,NALHATI-I,Apply - Aadhaar & Mobile Link with Digital Ration Card,5
42,NALHATI-I,Apply - GP Certificate,6
43,NALHATI-II,Search - Status of Application of Swasthya Sathi Card,1
43,NALHATI-II,Status of Application (Krishak Bandhu),2
43,NALHATI-II,Search - Download of e-Ration Card,3
43,NALHATI-II,Search - Application Status of Digital Ration Card Application,4
43,NALHATI-II,Application for Income Certificates,5
43,NALHATI-II,Apply - Payment of WBSEDCL Electricity Bill,6
44,MAYURESWAR-I,Apply - Payment of WBSEDCL Electricity Bill,1
44,MAYURESWAR-I,Apply - Aadhaar & Mobile Link with Digital Ration Card,2
44,MAYURESWAR-I,Apply - New Digital Ration Card,3
44,MAYURESWAR-I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
44,MAYURESWAR-I,Search - Status of Application of Swasthya Sathi Card,5
44,MAYURESWAR-I,Apply - GP Certificate,6
45,MAYURESWAR-II,Apply - Payment of WBSEDCL Electricity Bill,1
45,MAYURESWAR-II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
45,MAYURESWAR-II,Application for Income Certificates,3
45,MAYURESWAR-II,Search - Application Status of Digital Ration Card Application,4
45,MAYURESWAR-II,Apply - Aadhaar & Mobile Link with Digital Ration Card,5
45,MAYURESWAR-II,Apply - GP Certificate,6
46,MURARAI-I,Apply - Payment of WBSEDCL Electricity Bill,1
46,MURARAI-I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
46,MURARAI-I,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
46,MURARAI-I,Application for Income Certificates,4
46,MURARAI-I,Search - Application Status of Digital Ration Card Application,5
46,MURARAI-I,Search - Status of Application of Swasthya Sathi Card,6
47,MURARAI-II,Apply - Payment of WBSEDCL Electricity Bill,1
47,MURARAI-II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
47,MURARAI-II,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
47,MURARAI-II,Application for Income Certificates,4
47,MURARAI-II,Apply - GP Certificate,5
47,MURARAI-II,Search - Application Status of Digital Ration Card Application,6
48,COOCH BEHAR -I,Apply - Payment of WBSEDCL Electricity Bill,1
48,COOCH BEHAR -I,Application for Income Certificates,2
48,COOCH BEHAR -I,Apply - Submission of Form for Electoral Roll,3
48,COOCH BEHAR -I,Apply - GP Certificate,4
48,COOCH BEHAR -I,Search - Gram Panchayat Tax Payment,5
48,COOCH BEHAR -I,Apply - Land Revenue (Khajna),6
49,COOCH BEHAR -II,Apply - Payment of WBSEDCL Electricity Bill,1
49,COOCH BEHAR -II,Apply - GP Certificate,2
49,COOCH BEHAR -II,Caste Certificate,3
49,COOCH BEHAR -II,Search - Gram Panchayat Tax Payment,4
49,COOCH BEHAR -II,Search - Application Status of Digital Ration Card Application,5
49,COOCH BEHAR -II,Apply - Submission of Form for Electoral Roll,6
50,DINHATA -I,Apply - Payment of WBSEDCL Electricity Bill,1
50,DINHATA -I,Search - Application Status of Digital Ration Card Application,2
50,DINHATA -I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
50,DINHATA -I,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
50,DINHATA -I,Payment - e-Payment Stamp Duty & Registration Fees,5
50,DINHATA -I,Apply - ROR Application ,6
51,DINHATA -II,Apply - Payment of WBSEDCL Electricity Bill,1
51,DINHATA -II,Application for Income Certificates,2
51,DINHATA -II,Apply - GP Certificate,3
51,DINHATA -II,Search - Gram Panchayat Tax Payment,3
51,DINHATA -II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
51,DINHATA -II,Apply - Submission of Form for Electoral Roll,5
51,DINHATA -II,Caste Certificate,6
52,SITAI,Payment - e-Payment Stamp Duty & Registration Fees,1
52,SITAI,Application for Income Certificates,2
52,SITAI,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
52,SITAI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
52,SITAI,Search - Status of Application of Swasthya Sathi Card,5
52,SITAI,Apply - Swasthya Sathi Enrolment Certificate New Registration (Form Â B),6
53,MATHABHANGA -I,Apply - Aadhaar & Mobile Link with Digital Ration Card,1
53,MATHABHANGA -I,Apply - ROR Application ,2
53,MATHABHANGA -I,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
53,MATHABHANGA -I,Search - Status of Application of Swasthya Sathi Card,4
53,MATHABHANGA -I,Apply - Payment of WBSEDCL Electricity Bill,5
53,MATHABHANGA -I,Search - Application Status of Digital Ration Card Application,6
54,MATHABHANGA -II,Apply - Payment of WBSEDCL Electricity Bill,1
54,MATHABHANGA -II,Apply - Aadhaar & Mobile Link with Digital Ration Card,2
54,MATHABHANGA -II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
54,MATHABHANGA -II,Search - Gram Panchayat Tax Payment,4
54,MATHABHANGA -II,Apply - Submission of Form for Electoral Roll,5
54,MATHABHANGA -II,Apply - GP Certificate,6
55,SITALKUCHI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
55,SITALKUCHI,Application for Income Certificates,2
55,SITALKUCHI,Payment - e-Payment Stamp Duty & Registration Fees,3
55,SITALKUCHI,Search - Application Status of Digital Ration Card Application,4
55,SITALKUCHI,Caste Certificate,5
55,SITALKUCHI,Search - Status of Application of Swasthya Sathi Card,6
56,MEKHLIGANJ,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
56,MEKHLIGANJ,Apply - Aadhaar & Mobile Link with Digital Ration Card,2
56,MEKHLIGANJ,Search - Status of Application of Swasthya Sathi Card,3
56,MEKHLIGANJ,Application for Income Certificates,4
56,MEKHLIGANJ,Apply - Payment of WBSEDCL Electricity Bill,5
56,MEKHLIGANJ,Search - Download of e-Ration Card,6
57,HALDIBARI,Application for Income Certificates,1
57,HALDIBARI,Search - Application Status of Digital Ration Card Application,2
57,HALDIBARI,Search - Status of Application of Swasthya Sathi Card,3
57,HALDIBARI,Payment - e-Payment Stamp Duty & Registration Fees,4
57,HALDIBARI,Apply - Payment of WBSEDCL Electricity Bill,5
57,HALDIBARI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,6
58,TUFANGANJ -I,Application for Income Certificates,1
58,TUFANGANJ -I,Apply - Submission of Form for Electoral Roll,2
58,TUFANGANJ -I,Apply - Payment of WBSEDCL Electricity Bill,3
58,TUFANGANJ -I,Search - Status of Application of Swasthya Sathi Card,4
58,TUFANGANJ -I,Caste Certificate,5
58,TUFANGANJ -I,Apply - GP Certificate,6
59,TUFANGANJ -II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
59,TUFANGANJ -II,Apply - Payment of WBSEDCL Electricity Bill,2
59,TUFANGANJ -II,Application for Income Certificates,3
59,TUFANGANJ -II,Search - Status of Application of Swasthya Sathi Card,4
59,TUFANGANJ -II,Caste Certificate,5
59,TUFANGANJ -II,Search - Application Status of Digital Ration Card Application,6
60,BALURGHAT,Apply - Payment of WBSEDCL Electricity Bill,1
60,BALURGHAT,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
60,BALURGHAT,Apply - Submission of Form for Electoral Roll,3
60,BALURGHAT,Apply - Land Revenue (Khajna),4
60,BALURGHAT,Search - Download of e-Ration Card,5
60,BALURGHAT,Modify - Add member / FPS of Ration Card Holder,6
61,HILI,Apply - Payment of WBSEDCL Electricity Bill,1
61,HILI,Application for Income Certificates,2
61,HILI,Payment History - WBSEDCL,3
61,HILI,Apply - Land Revenue (Khajna),4
61,HILI,Apply - GP Certificate,5
61,HILI,Apply - Submission of Form for Electoral Roll,6
62,KUMARGANJ,Apply - Payment of WBSEDCL Electricity Bill,1
62,KUMARGANJ,Apply - Submission of Form for Electoral Roll,2
62,KUMARGANJ,Search - Application Status of Digital Ration Card Application,3
62,KUMARGANJ,Apply - Verification of Electoral Roll Online,4
62,KUMARGANJ,Status of Application (Krishak Bandhu),5
62,KUMARGANJ,Search - Regenerate Receipt of WBSEDCL,6
63,TAPAN,Apply - Payment of WBSEDCL Electricity Bill,1
63,TAPAN,Payment - e-Payment Stamp Duty & Registration Fees,2
63,TAPAN,Search - Status of Application of Swasthya Sathi Card,3
63,TAPAN,Payment History - WBSEDCL,4
63,TAPAN,Application for Income Certificates,5
63,TAPAN,Apply for Birth & Death Certificate,6
64,GANGARAMPUR,Apply - Payment of WBSEDCL Electricity Bill,1
64,GANGARAMPUR,Application for Income Certificates,2
64,GANGARAMPUR,Status of Application (Krishak Bandhu),3
64,GANGARAMPUR,Apply - Land Revenue (Khajna),4
64,GANGARAMPUR,Apply - GP Certificate,5
64,GANGARAMPUR,Apply - Swasthya Sathi Enrolment Certificate New Registration (Form Â B),6
65,KUSHMANDI,Application for Income Certificates,1
65,KUSHMANDI,Apply - Payment of WBSEDCL Electricity Bill,2
65,KUSHMANDI,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
65,KUSHMANDI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
65,KUSHMANDI,Modify - Add member / FPS of Ration Card Holder,5
65,KUSHMANDI,Apply - New Digital Ration Card,6
66,BANSIHARI,Apply - Payment of WBSEDCL Electricity Bill,1
66,BANSIHARI,Apply - Aadhaar & Mobile Link with Digital Ration Card,2
66,BANSIHARI,Application for Income Certificates,3
66,BANSIHARI,Apply - Submission of Form for Electoral Roll,4
66,BANSIHARI,Search - Download of e-Ration Card,5
66,BANSIHARI,Modify - Add member / FPS of Ration Card Holder,6
67,HARIRAMPUR,Apply - Payment of WBSEDCL Electricity Bill,1
67,HARIRAMPUR,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
67,HARIRAMPUR,Search - Status of Application of Swasthya Sathi Card,3
67,HARIRAMPUR,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
67,HARIRAMPUR,Modify - Add member / FPS of Ration Card Holder,5
67,HARIRAMPUR,Status of Application (Krishak Bandhu),5
67,HARIRAMPUR,Search - Bangla Shasya Bima,6
68,PULBAZAR,Apply - Payment of WBSEDCL Electricity Bill,1
68,PULBAZAR,Application for Income Certificates,2
68,PULBAZAR,Apply - Ordinary Residencial Certificate,3
68,PULBAZAR,Apply - Land Revenue (Khajna),4
68,PULBAZAR,Apply - Submission of Form for Electoral Roll,5
68,PULBAZAR,Caste Certificate,6
69,RANGLI RANGLIOT,Apply - Payment of WBSEDCL Electricity Bill,1
69,RANGLI RANGLIOT,Apply - Ordinary Residencial Certificate,2
69,RANGLI RANGLIOT,Search - Status of Application of Swasthya Sathi Card,3
69,RANGLI RANGLIOT,Apply - Submission of Form for Electoral Roll,4
69,RANGLI RANGLIOT,Application for Income Certificates,5
69,RANGLI RANGLIOT,Apply - GP Certificate,6
70,JOREBUNGLOW SUKIAPOKHRI,Apply - Payment of WBSEDCL Electricity Bill,1
70,JOREBUNGLOW SUKIAPOKHRI,Apply - Ordinary Residencial Certificate,2
70,JOREBUNGLOW SUKIAPOKHRI,Application for Income Certificates,3
70,JOREBUNGLOW SUKIAPOKHRI,Apply - Submission of Form for Electoral Roll,4
70,JOREBUNGLOW SUKIAPOKHRI,Apply - OPD Registration,5
70,JOREBUNGLOW SUKIAPOKHRI,Apply - Land Revenue (Khajna),6
71,KURSEONG,Apply - Payment of WBSEDCL Electricity Bill,1
71,KURSEONG,eDistrict Dashboard,2
71,KURSEONG,Apply - Submission of Form for Electoral Roll,3
71,KURSEONG,Apply - Ordinary Residencial Certificate,4
71,KURSEONG,Apply - GP Certificate,5
71,KURSEONG,Search - Status of Application of Swasthya Sathi Card,6
72,MIRIK,Apply - Submission of Form for Electoral Roll,1
72,MIRIK,Apply - Payment of WBSEDCL Electricity Bill,2
72,MIRIK,Apply - Ordinary Residencial Certificate,3
72,MIRIK,Caste Certificate,4
72,MIRIK,Apply - Verification of Electoral Roll Online,5
72,MIRIK,Search - Status of Application of Swasthya Sathi Card,6
73,MATIGARA,Application for Income Certificates,1
73,MATIGARA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
73,MATIGARA,Apply - Payment of WBSEDCL Electricity Bill,3
73,MATIGARA,Apply - Ordinary Residencial Certificate,4
73,MATIGARA,Apply - Land Revenue (Khajna),5
73,MATIGARA,Apply - Submission of Form for Electoral Roll,6
74,NAXALBARI,Apply - Payment of WBSEDCL Electricity Bill,1
74,NAXALBARI,Apply - Submission of Form for Electoral Roll,2
74,NAXALBARI,Application for Income Certificates,3
74,NAXALBARI,Apply - Ordinary Residencial Certificate,4
74,NAXALBARI,Apply - Land Revenue (Khajna),5
74,NAXALBARI,Apply - GP Certificate,6
75,KHORIBARI,Caste Certificate,1
75,KHORIBARI,Application for Income Certificates,2
75,KHORIBARI,Apply - Submission of Form for Electoral Roll,3
75,KHORIBARI,Apply - Payment of WBSEDCL Electricity Bill,4
75,KHORIBARI,Apply - GP Certificate,5
75,KHORIBARI,Info - Old Age Pension Scheme,6
76,PHANSIDEWA,Apply - Payment of WBSEDCL Electricity Bill,1
76,PHANSIDEWA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
76,PHANSIDEWA,Caste Certificate,3
