bsk_id,bsk_name,district_name,sub_division_name,block_municipalty_name,gp_ward,gp_ward_distance,bsk_type,bsk_sub_type,bsk_code,no_of_deos,is_aadhar_center,bsk_address,bsk_lat,bsk_long,bsk_account_no,bsk_landline_no,is_saturday_open,is_active,district_id,block_mun_id,gp_id,sub_div_id,pin
2981,KMC BOROUGH OFFICE  BR-XVI -JOKA,KOLKATA,KOLKATA MUNICIPAL CORPORATION,KOLKATA MUNICIPAL CORPORATION,WARD NO.-144,0,Urban,Borough Office,KOL/S/U/03047,2,0,DIAMOND PARK-JOKA.KOL-700104,22.4525343,88.303095,40460838585,"",YES,t,24,391,9368,69,700104
932,SAHID SMRITI PATHAGAR,NORTH 24 PARGANAS,BARASAT SADAR,ASHOKENAGAR-KALYANGARH MUNICIPALITY,WARD NO.-10,0.5,Urban,Library,N24/L/R/02172,2,0,"RJVF+8C5, Ashoknagar, West Bengal 743222",22.8435378,88.6221748,40460338219,,NO,t,2,431,6444,40,743222
1619,KASHIMNAGAR GP,MURSHIDABAD,JANGIPUR SDO,SUTI II,KASHIMNAGAR,0,Rural,GP,MUR/H/R/00827,2,0,"VILL+P.O-KASHIMNAGAR,P.S-SUTI,742224",24.6237956,87.9842318,40458704065,03485263002,NO,t,17,154,795,33,742224
2460,RAMGANJ-1 GP,UTTAR DINAJPUR,ISLAMPUR SDO,ISLAMPUR,RAMGANJ-I,0,Rural,GP,UDR/H/R/00484,2,0,"RAMGANJ BAZAR,ISLAMPUR  ,UTTAR DINAJPUR",26.3194643,88.2876397,40460450967,03526297609,NO,t,10,338,292,67,733207
1734,BILKANDA-II GP,NORTH 24 PARGANAS,BARRACKPORE,BARRACKPORE II,BILKANDA-II,0,Rural,GP,N24/H/R/02192,2,0,"VILLAGE - MURAGACHHA, PO - JUGBERIA, PS - GHOLA, PIN- 700110",22.6968804,88.4225312,40460532409,,YES,t,2,187,2906,41,700110
3212,RAJNAGAR GP,PASCHIM MEDINIPUR,GHATAL,DASPUR-I,RAJNAGAR,0,Rural,GP,PAM/S/R/02759,2,0,"VILL-RAJNAGARPO-CHETUA RAJNAGARPS-DASPURPIN-
721211DIST-PASCHIM  MIDNAPORE",22.5772942,87.6680195,40460337248,,NO,t,16,218,2012,47,721211
2652,SANKARI II GP,PURBA BARDHAMAN,BARDHAMAN SADAR SOUTH,KHANDAGHOSH,SANKARI II,0,Rural,GP,PUB/H/R/01563,2,0,"VILL-KUNJANAGAR, P. O- TELUA, P. S- KHANDAGHOSH, PIN-713424",23.2026649,87.7658273,40460618117,,NO,t,5,249,1677,53,713424
2786,SI OFFICE NALHATI EAST,BIRBHUM,RAMPURHAT SDO,NALHATI-II,BARA-I,1.5,Rural,CLRC,BIR/S/R/01166,2,0,"VILL-LOHAPUR, PO-LOHAPUR, PS-NALHATI, DIST-BIRBHUM, PIN-731237",24.3014596,87.9544506,40460646916,03465297332,NO,t,6,43,1164,6,731237
547,SITAI- I GP,COOCH BEHAR,DINHATA SDO,SITAI,SITAI-I,0,Rural,GP,COO/L/R/00334,2,0,KESHARIBARI,26.0630168,89.3012363,40460751181,,NO,t,7,52,60,9,736167
2080,LANGOLBERIA GP,SOUTH 24 PARGANAS,BARUIPUR,SONARPUR,LANGALBERIA,0,Rural,GP,S24/H/R/03207,2,0,"VILL - Dakshin Gobindapur, P.O- Dakshin Gobindapur, P.S- Sonarpur, PIN - 700145",22.3897266,88.4117117,40460765207,"",YES,t,3,316,2981,63,700145
3685,GUPTIPARA-I GP,HOOGHLY,CHINSURAHA SADAR SDO,BALAGARH,GUPTIPARA-I,0,Rural,GP,HOO/L/R/02608,2,0,Mirdanga Govt Colony1no,23.1991774,88.4226629,40460741026,,NO,t,11,83,2527,21,712512
354,CONTAI-II/DESHAPRAN BDO,PURBA MEDINIPUR,CONTAI,DESHAPRAN,DHOBABERIA,1,Rural,BDO,PUM/P/R/03345,1,0,"VILL: SAFIABAD, P.O- SAFIABAD, P.S- CONTAI, PIN- 721442, BLOCK- CONTAI 2",21.810295,87.8302878,40460550279,03220253652,NO,t,15,283,2286,54,721442
3642,"BOROUGH OFFICE XII, 97 & 98 GARFA MAIN ROAD,KOLKATA -75",KOLKATA,KOLKATA MUNICIPAL CORPORATION,KOLKATA MUNICIPAL CORPORATION,WARD NO.-104,0,Urban,Borough Office,KOL/U/U/03078,1,1,97 & 98 Garfa  Main Road (Jadavpur) Kolkata - 700075,22.497678,88.3811171,40460637729,03324185001,YES,t,24,391,6418,69,700075
3107,SADHANPUR GP,NORTH 24 PARGANAS,BARASAT SADAR,AMDANGA,SADHANPUR,0,Rural,GP,N24/S/R/02275,2,0,SADHANPUR   ,22.8190069,88.5131747,40460329533,,NO,t,2,190,2777,40,743221
1334,RAJGRAM GP,BIRBHUM,RAMPURHAT SDO,MURARAI-I,RAJGRAM,0,Rural,GP,BIR/H/R/01096,2,0,"Vill: Rajgram Bazar, PO : Rajgram, Birbhum",24.545409,87.8667045,40458700832,03465297173,NO,t,6,46,1175,6,731222
1646,KIRITESWARI GP,MURSHIDABAD,LALBAG SDO,NABAGRAM,KIRITESWARI,0,Rural,GP,MUR/H/R/00854,2,0,"VILL+PO- KIRITESWARI, PS- NABAGRAM, DIST- MSD PIN - 742104",24.1832522,88.1946006,40460458297,03483295057,NO,t,17,167,721,35,742104
1798,BAIDYANATHPUR GP,PASCHIM BARDHAMAN,DURGAPUR,PANDABESWAR,BAIDYANATHPUR,0,Rural,GP,PAB/H/R/01668,2,0,"vill - Baidyanathpur , p.s - pandabeswar, p.o - pandabeswar ,pin - 713346",23.7149793,87.2732055,40460555041,,NO,t,23,215,1778,46,713346
1017,GOTISTHA GP,PURBA BARDHAMAN,KATWA,MONGALKOTE,GOTISTHA,0,Rural,GP,PUB/L/R/01424,2,0,"VILL & P.O. -GOTISTHA, P.S.- MONGALKOTE, DIST- PURBA BARDHAMAN, PIN- 713131
",23.532363,87.812376,40460339664,03452295299,NO,t,5,250,1701,51,713131
1971,MAHAMMADPUR GP,PURBA MEDINIPUR,HALDIA,NANDIGRAM I,MAHAMMADPUR,0,Rural,GP,PUM/H/R/03452,2,0,"Vill - Mahammadpur, P.O. -Nilpur, P.S.- Nandigram, Pin- 721631",22.0145292,88.0027671,40460745076,,NO,t,15,269,2222,56,721631
2625,ICHHAPUR NILGUNJ GP,NORTH 24 PARGANAS,BARASAT SADAR,BARASAT I,ICHHAPUR NILGUNJ,0,Rural,GP,N24/H/R/02274,2,0,Nilgunj Bazaar,22.7503645,88.4450465,40460547711,,NO,t,2,188,2790,40,700121
293,RAJARHAT BLOCK,NORTH 24 PARGANAS,BIDHANNAGAR,RAJARHAT,RAJARHAT BISHNUPUR-II,0,Rural,BDO,N24/P/R/02131,2,1,"MAJHERPARA, RAJARHAT, PIN -700135",22.6169947,88.5048708,40460538003,,NO,t,2,207,2783,43,700135
1749,HINGALGANJ GP,NORTH 24 PARGANAS,BASIRHAT,HINGALGANJ,HINGALGANJ,0,Rural,GP,N24/H/R/02207,2,0,"Vill+P.O-Hingalganj,PS-Hingalganj,Block Hingalganj,North 24 pgs",22.4690946,88.9931018,40460543433,,NO,t,2,202,2862,42,743435
3297,SI OFFICE MOINA,PURBA MEDINIPUR,TAMLUK,MOYNA,MOYNA-I,1,Rural,CLRC,PUM/S/R/03531,2,0,"VILL: DAKSHIN ANUKHA, P.O- MOYNA, P.S- MOYNA, PIN- 721629, BLOCK- MOYNA",22.2522907,87.7741331,40460445062,,NO,t,15,264,2174,57,721629
352,CONTAI-I BDO,PURBA MEDINIPUR,CONTAI,CONTAI I,BADALPUR,0.5,Urban,BDO,PUM/P/R/03343,1,0,"VILL: KUMARPUR , WARD No. 11, P.O- Contai, P.S- Contai, PIN- 721401, BLOCK- CONTAI 1",21.7757261,87.7502809,40460550111,03220259646,NO,t,15,282,2311,54,721401
3093,SI OFFICE KALYANI,NADIA,KALYANI SDO,KALYANI,KANCHRAPARA,2.5,Urban,CLRC,NAD/S/R/01345,2,0,KALYANI NADIA.PIN-741235,22.9703234,88.4637012,40460328824,"",NO,t,18,183,1001,36,741235
2846,BIJANBARI-PULBAZAR  GP,DARJEELING,DARJEELING SADAR SDO,PULBAZAR,BIJANBARI-PULBAZAR,0,Rural,GP,DAR/S/R/00095,2,0,"Bistha Path, Bijanbari",27.0683267,88.1926971,40460750201,,NO,t,8,68,3260,15,734201
8,DM OFFICE HOWRAH,HOWRAH,SADAR SDO,HOWRAH MUNICIPAL CORPORATION,WARD NO.-29,0.1,Urban,DMO,HOW/P/U/02877,2,0,"123, Rishi Bankim Chandra Rd, Shree Market , Howrah Maidan, Howrah Railway Station, Shibpur, Howrah, West Bengal 711101",22.5800896,88.3373969,40460333764,,NO,t,12,383,8432,23,711101
1786,DAMRA PHC,PASCHIM BARDHAMAN,ASANSOL,ASANSOL MUNICIPAL CORPORATION,WARD NO.-87,4,Urban,Health Center,PAB/H/U/01656,2,0,DAMRA HEALTH CENTER PASHI PARA NEAR DAMRA HIGH SCHOOL.ASANSOL .POST OFFICE- DAMRA .PIN CODE-713339,23.6450842,87.0146834,40460545453,,NO,t,23,456,9249,45,713339
1812,BHAGABANTAPUR-II GP,PASCHIM MEDINIPUR,GHATAL,CHANDRAKONA-II,BHAGABANTAPUR-II,0,Rural,GP,PAM/H/R/02640,2,0,"VILL-KHIRATIPO-KHIRATIPS-CHANDRAKONAPIN-721201DIST-
PASCHIM  MIDNAPORE",22.8067431,87.5029743,40460555880,,NO,t,16,217,2037,47,721201
731,KUKURJAN GP,JALPAIGURI,JALPAIGURI SDO,RAJGANJ,KUKURJAN,0,Rural,GP,JAL/L/R/00156,1,0,"KUKURJAN GRAM PANCHAYAT,
P.O:KHOLAS PARA,
PIN:735133",26.5309631,88.5610725,40460830620,,NO,t,13,112,202,25,735133
88,ISLAMPUR SDO,UTTAR DINAJPUR,ISLAMPUR SDO,ISLAMPUR,ISLAMPUR,0.5,Rural,SDO,UDR/P/R/00428,2,1,"VILL - NEW TOWN, PO+PS- ISLAMPUR, DISTRICT - UTTAR DINAJPUR, PIN-733202",26.2553025,88.1859295,40460343615,03526297638,NO,t,10,338,284,67,733202
2132,JOYPUR BPHC,BANKURA,BISHNUPUR SDO,JOYPUR,SALDA,0.5,Rural,Health Center,BAN/H/R/02025,2,0,"VILL+P.O.- JOYPUR, P.S.- JOYPUR, DIST- BANKURA, STATE WEST BENGAL, PIN- 722138",23.0551967,87.4515464,40460835244,,YES,t,4,25,1439,3,722138
616,ANIYA BANKIM PUBLIC LIBRARY,HOOGHLY,SIRAMPUR SDO,CHANDITALA-I,ANIYA,1.5,Rural,Library,HOO/L/R/02392,2,0,Aniya                                               ,22.7258765,88.1445656,40460761676,03212241068,NO,t,11,92,2674,22,712706
2120,TATPARA-1,ALIPURDUAR,ALIPURDUAR SDO,ALIPURDUAR II,TATPARA-1,0,Rural,GP,ALI/H/R/00261,2,0,TATPARA-I GP OFFICE,26.5089643,89.6352308,40460834716,,NO,t,20,2,233,1,736208
2481,ANCHURI GP,BANKURA,BANKURA SADAR SDO,BANKURA I,ANCHURI,0,Rural,GP,BAN/H/R/02047,2,0,"ANCHURI GRAM PANCHAYAT VILL-BADULARA ,PO- WEST SANABANDH, BANKURA, PIN722102",23.2510049,86.9999074,40460460512,,YES,t,4,7,1355,2,722102
2069,UTTAR LAKSHMINARAYANPUR GP,SOUTH 24 PARGANAS,DIAMOND HARBOUR,MATHURAPUR I,LASKSHMINARAYANPUR UTTAR,0,Rural,GP,S24/H/R/03196,2,0,LAKSHMINARAYANPUR UTTAR,22.0894972,88.3793443,40460764655,"",YES,t,3,328,3119,65,743354
1729,BANKRA GOKULPUR GP,NORTH 24 PARGANAS,BASIRHAT,SWARUPNAGAR,BANKRA-GOKULPUR GP.,0,Rural,GP,N24/H/R/02187,2,0,"Vill-Goaldaha, PO- Goaldaha, PS-Swarupnagar, North 24 Parganas",22.7577473,88.860061,40460532170,,NO,t,2,206,2873,42,743427
1085,BHEKUTIA GP,PURBA MEDINIPUR,HALDIA,NANDIGRAM I,BHEKUTIA,0,Rural,GP,PUM/L/R/03395,2,0,"Vill + P.O. - Bhekutia,P.S.- Nandigram, Pin- 721656",22.0503215,87.9896585,40460447343,03224297150,NO,t,15,269,2221,56,721656
2410,BARABAZAR RH,PURULIA,MANBAZAR,BARABAZAR,BARABAZAR,1,Rural,Health Center,PUR/H/R/01818,2,0,Vill - Barabazar  P.O - Barabhum  Dist. - Purulia Pin - 723127,23.0260013,86.3657642,40460440926,,NO,t,19,294,1218,60,723127
3699,MAYNAGURI MUNICIPALITY BSK,JALPAIGURI,JALPAIGURI SDO,MAYNAGURI MUNICIPALITY,WARD NO.-9,0.10,Urban,Municipality,JAL/U/R/00227,2,1,Maynaguri Municipality  735224,26.5635763,88.822831,40460741945,"",YES,t,13,498,6974,25,735224
273,TEHATTA-I,NADIA,TEHATTA SDO,TEHATTA -I,TEHATTA,1,Rural,BDO,NAD/P/R/01208,1,0,TEHATTA. NADIA PIN-741160,23.7354953,88.5233578,40460536254,,NO,t,18,179,860,39,741160
2943,PADAMOTI-I GP,JALPAIGURI,JALPAIGURI SDO,MAYNAGURI,PADAMOTI-I,0,Rural,GP,JAL/S/R/00210,2,0,"VILL- PASCHIM HARMATI, 
P.O- BHOTEPATTY, 
P.S- MAYNAGURI, DISTRICT- JALPAIGURI, STATE- WEST BENGAL, PIN- 735305",26.4705558,88.8560111,40460829387,"",YES,t,13,111,182,25,735305
814,SUNDARPUR GP,MURSHIDABAD,LALBAG SDO,BHAGAWANGOLA I,SUNDARPUR,0,Rural,GP,MUR/L/R/00793,2,0,"VILL- ORAHAR, PO-SUNDARPUR, PS- BHAGWANGOLA, DIST- MSD, PIN- 742135",24.328704,88.2459661,40460319047,,NO,t,17,164,687,35,742161
665,RAMMOHAN - II GP,HOOGHLY,ARAMBAGH SDO,KHANAKUL-I,RAMMOHAN - II,0,Rural,GP,HOO/L/R/02439,2,0,"Vill:- Sekendarpur, Post: Helan, Police Station: Khanakul, Dist: Hooghly",22.7643496,87.8965098,40460831679,,NO,t,11,79,2637,19,712412
1760,SHASAN  GP,NORTH 24 PARGANAS,BARASAT SADAR,BARASAT II,SHASAN,0,Rural,GP,N24/H/R/02218,2,0,"Vill- Malrameswarpur, PO+PS-Shasan, Dist- North 24 Parganas, PIN- 743423",22.6475246,88.5856852,40460543896,,YES,t,2,189,2802,40,743423
2451,RAIDIGHI GP,SOUTH 24 PARGANAS,DIAMOND HARBOUR,MATHURAPUR II,RAIDIGHI,0,Rural,GP,S24/H/R/03251,2,0,"Vill. + P.O. - Raidighi, Dist. South 24 Parganas, Pin - 743383",21.9963031,88.4405379,40460450491,,NO,t,3,329,3128,65,743383
247,NABAGRAM BDO,MURSHIDABAD,LALBAG SDO,NABAGRAM,NABAGRAM,4.5,Rural,BDO,MUR/P/R/00758,2,0,"VILL & PO + PS- NABAGRAM, Dist Murshidabad, PIN 742184",24.1895429,88.0970606,40460465555,03483270122,NO,t,17,167,717,35,742184
1110,KAMTA-JANGIDIRI GP,PURULIA,MANBAZAR,MANBAZAR I,KAMTAJANGIDIRI,0,Rural,GP,PUR/L/R/01739,2,0,VILL-BALIGUMA POST-BIJOYDIH PS-KENDA DIST-PURULIA  PIN-723128,23.1322191,86.4874335,40460448631,,NO,t,19,290,1283,60,723128
2397,KAMARDA GP,PURBA MEDINIPUR,CONTAI,KHEJURI I,KAMARDA,0,Rural,GP,PUM/H/R/03483,2,0,"Vill: Kamarda, PO: Kamarda Bazar, PS: Khejuri, Dist: Purba Medinipur, PIN: 721432",21.9413832,87.8782159,40460440347,03220280020,NO,t,15,277,2304,54,721432
1923,KANKURIA GP,PURBA BARDHAMAN,KALNA,KALNA I,KAKURIA,0,Rural,GP,PUB/H/R/01519,2,0,"VILL-SAHAJPUR,PO-SAHAJPUR,PURBA BARDHAMAN,713405",23.306666,88.2472248,40460642446,,NO,t,5,257,1627,50,713405
1048,SERORAI GP,PURBA BARDHAMAN,BARDHAMAN SADAR NORTH,GALSI I,SERORAI,0,Rural,GP,PUB/L/R/01455,2,0,"VILL- SUNDALPUR, PO- PURATANGRAM, PS- GALSI, DIST- PURBA BARDHAMAN, PIN-713428",23.3148619,87.6162948,40460347701,,NO,t,5,240,1598,52,713428
3045,SI OFFICE SADAR EAST,MURSHIDABAD,BERHAMPORE SDO,BERHAMPORE MUNICIPALITY,WARD NO.-21,1,Urban,CLRC,MUR/S/R/00941,1,0,BERHAMPORE ,24.0914499,88.2529905,40460323836,03482297289,NO,t,17,410,8217,31,742101
2733,INDAS - I  GP,BANKURA,BISHNUPUR SDO,INDAS,INDUS-I,0,Rural,GP,BAN/S/R/02065,2,0,VILL -HARIPUR PO- INDAS PS -INDAS DIST BANKURA,23.1488377,87.6218886,40460632732,"",YES,t,4,24,1427,3,722205
2479,ULIARA GP,BANKURA,BISHNUPUR SDO,BISHNUPUR,ULIARA,0,Rural,GP,BAN/H/R/02045,2,0,"Uliara Gram Panchayat, Vill-Bishra, Po-Uliara,Pin-722122",23.1066378,87.3685577,40460460374,"",YES,t,4,23,1387,3,722122
1288,SALDIHA NEW PHC,BANKURA,KHATRA SDO,INDPUR,BRAMHANDIHA,2,Rural,Health Center,BAN/H/R/02012,1,0,"SALDIHA HEW PHC, VILL+P.O-SALDIHA, DIST-BANKURA, PIN-722173",23.1669726,86.8059971,40458700333,"",YES,t,4,16,1418,4,722173
3319,SANTURI THANA LAMPS BSK,PURULIA,RAGHUNATHPUR,SANTURI,SANTURI,5.5,Rural,LAMPS,PUR/S/R/01847,2,0,VILL+PO TALBERIAPS SANTURIDIST PURULIAPIN 723156,23.523854,86.853452,40460446054,"",NO,t,19,303,1353,61,723133
1771,RAUTARA GP ,NORTH 24 PARGANAS,BARASAT SADAR,HABRA I,ROUTARA,0,Rural,GP,N24/H/R/02229,2,0,"RAUTARA GP, HABRA",22.7914713,88.5880557,40460544459,,NO,t,2,192,2750,40,743234
1587,KHARBA GP,MALDAH,CHANCHAL SDO,CHANCHAL I,KHARBA,0,Rural,GP,MAL/H/R/00658,2,0,"Vill & PO Kharba, Chanchal I P.S Chanchal",25.4227802,88.0786859,40458703673,03513253045,NO,t,14,136,458,29,732126
314,GARHBETA-III BDO,PASCHIM MEDINIPUR,MIDNAPORE SADAR,GARHBETA-III,SANKARKANTA,0.07,Rural,BDO,PAM/P/R/02622,2,0,"Village-Durlavganj,p.o.-Satbankura,ps-GARHBETA,DIST-PASCHIM MEDINIPUR PIN-721253",22.7332116,87.335598,40460539288,,NO,t,16,233,1858,49,721253
188,BALLY JAGACHA BDO,HOWRAH,SADAR SDO,BALLY JAGACHA,CHAMRAIL,1,Rural,BDO,HOW/P/R/02884,2,1,"KHALIA,CHAMRAIL,HOWRAH             PIN- 711114",22.624208,88.2936439,40460453447,,YES,t,12,95,2345,23,711114
1770,RAJENDRAPUR GP,NORTH 24 PARGANAS,BASIRHAT,BASIRHAT II,RAJENDRAPUR,0,Rural,GP,N24/H/R/02228,2,0,"Vill- Noldi, PO- Rajendrapur, PS- Matia, PIN- 743291",22.6227931,88.8203777,40460544426,,NO,t,2,199,2818,42,743291
703,JAGADISHPUR GP,HOWRAH,SADAR SDO,BALLY JAGACHA,JAGADISHPUR,1,Rural,GP,HOW/L/R/02898,2,0,"JAGADISHPUR HUT , HOWRAH , 711114",22.648452,88.281829,40460833326,"",YES,t,12,95,2349,23,711115
1707,CHANDERGHAT GP,NADIA,TEHATTA SDO,TEHATTA -I,CHANDERGHAT,0,Rural,GP,NAD/H/R/01275,2,0,"VILL. & P.O. - CHANDERGHAT, PS - TEHATTA , PIN  - 741160",23.6909189,88.5058793,40460531030,,NO,t,18,179,855,39,741160
2976,"TARATOLLA  ASSESMENT,BR-XIII",KOLKATA,KOLKATA MUNICIPAL CORPORATION,KOLKATA MUNICIPAL CORPORATION,WARD NO.-119,0,Urban,Borough Office,KOL/S/U/03042,2,0,"1, DIAMOND HARBOUR ROAD.KOL-700038",22.5118906,88.3220149,40460838392,03324002113,YES,t,24,391,6433,69,700053
409,JOYNAGAR - II BDO,SOUTH 24 PARGANAS,BARUIPUR,JAYNAGAR II,FUTIGODA,0.01,Rural,BDO,S24/P/R/03101,2,1,"VILL-NIMPITH, P.O.-NIMPITH ASRAM, P.S- BAKULTALA SOUTH 24 PARGANAS, PIN- 743338.",22.1532626,88.4417441,40460623206,,NO,t,3,314,2965,63,743338
2366,KETUGRAM GP,PURBA BARDHAMAN,KATWA,KETUGRAM II,KETUGRAM,0,Rural,GP,PUB/H/R/01542,2,0,"VILL. + P.O. - PACHUNDI, P.S. - KETUGRAM, DIST.- PURBA BARDHAMAN, PIN. - 713123",23.7044876,88.0463495,40460341812,,NO,t,5,252,1665,51,713140
557,SITALKUCHI GP ,COOCH BEHAR,MATHABHANGA SDO,SITALKUCHI,SITALKUCHI,0,Rural,GP,COO/L/R/00344,2,0,"PS-MATHABHANGA,PIN-735303",26.1630993,89.1821886,40460752027,,YES,t,7,55,111,10,736158
2990,"BR-I, TREASURY",KOLKATA,KOLKATA MUNICIPAL CORPORATION,KOLKATA MUNICIPAL CORPORATION,WARD NO.-6,0,Urban,Borough Office,KOL/S/U/03056,2,1,"10, B. T ROAD.KOLKATA-700002",22.6115355,88.376374,40460839066,"",YES,t,24,391,9297,69,700002
3405,KANPUR DHANBERIA GP,SOUTH 24 PARGANAS,DIAMOND HARBOUR,DIAMOND HARBOUR I,KANPUR DHANBERIA,0,Rural,GP,S24/S/R/03311,2,0,"KANPUR DHANBERIA,
Village-Narayanpur Gauripur, P.O-Diamond Harbour, P.S-Diamond Harbour, District-South 24 Parganas,
PIN 743331",22.1762155,88.2100958,40460467857,,NO,t,3,321,3040,65,743331
3593,AMC BOROUGH-2 OFFICE,PASCHIM BARDHAMAN,ASANSOL,ASANSOL MUNICIPAL CORPORATION,WARD NO.-90,0.1,Urban,Borough Office,PAB/U/U/01710,1,1,"Asansol Municipal Corporation Office, Borough No.2 NH 60, NSB Rd, Raniganj, West Bengal 713347",23.6053577,87.1157684,40460625260,,NO,t,23,456,9252,45,713347
763,JODUPUR MODERN CLUB & LIBRARY,MALDAH,MALDA SADAR SDO,KALIACHAK I,NAWADA JADUPUR,0.5,Rural,Library,MAL/L/R/00631,2,0,"Vill+PO-Jodupur, PS-Kaliachak, Dist-Malda, Pin-732212",24.8842781,88.0467501,40460841677,,NO,t,14,130,554,30,732206
