district_id,district_name,service_id,service_name,unique_citizen_count,citizen_percentage,rank_in_district
2.0,NORTH 24 PARGANAS,64,Search - Bangla Shasya Bima,420,0.8,24.0
2.0,NORTH 24 PARGANAS,194,Search - Gram Panchayat Tax Payment,402,0.8,25.0
2.0,NORTH 24 PARGANAS,306,Search - NSAP under Jai Bangla,398,0.7,26.0
2.0,NORTH 24 PARGANAS,255,Apply - Renewal of Trade License in Municipal Areas,386,0.7,27.0
2.0,NORTH 24 PARGANAS,357,Payment History - WBSEDCL,347,0.6,28.0
2.0,NORTH 24 PARGANAS,354,Payment - Electricity Bill of CESC,345,0.6,29.0
2.0,NORTH 24 PARGANAS,406,Apply- Addition of New Member after Receiving Card (Form â A),345,0.6,29.0
2.0,NORTH 24 PARGANAS,164,Apply - Samajik Suraksha Yojana Application ,336,0.6,30.0
2.0,NORTH 24 PARGANAS,170,Apply - Plot Information,319,0.6,31.0
2.0,NORTH 24 PARGANAS,356,Search - Regenerate Receipt of WBSEDCL,314,0.6,32.0
2.0,NORTH 24 PARGANAS,405,Modify - Member Name Correction after Receiving Card (Form â C),306,0.6,33.0
2.0,NORTH 24 PARGANAS,242,Apply - Payment of Municipal & Corporation Tax,295,0.6,34.0
2.0,NORTH 24 PARGANAS,393,Search - Schedule Paddy Sale,285,0.5,35.0
2.0,NORTH 24 PARGANAS,168,Apply - Mutation Application,280,0.5,36.0
2.0,NORTH 24 PARGANAS,244,Search - e-Services Information of Municipal / Urban services,270,0.5,37.0
2.0,NORTH 24 PARGANAS,138,Apply - OPD Registration,264,0.5,38.0
2.0,NORTH 24 PARGANAS,478,Apply - Ordinary Residencial Certificate,236,0.4,39.0
2.0,NORTH 24 PARGANAS,266,Info - Widow Pension Scheme,230,0.4,40.0
2.0,NORTH 24 PARGANAS,69,Apply - Krishak Bandhu Scheme,210,0.4,41.0
2.0,NORTH 24 PARGANAS,388,Search - Application Status,195,0.4,42.0
2.0,NORTH 24 PARGANAS,253,Apply - Issuance of Trade Licence in Municipal Areas,193,0.4,43.0
2.0,NORTH 24 PARGANAS,151,Apply - Local Residence (Domicile) Certificate,188,0.4,44.0
2.0,NORTH 24 PARGANAS,165,Apply - Yuvashree Scheme Application ,187,0.3,45.0
2.0,NORTH 24 PARGANAS,85,Apply - Sufal Bangla Individual Enrollment Form,169,0.3,46.0
2.0,NORTH 24 PARGANAS,364,Apply - Download and Print Death Certificate,151,0.3,47.0
2.0,NORTH 24 PARGANAS,63,Apply - Bangla Shasya Bima,148,0.3,48.0
2.0,NORTH 24 PARGANAS,172,Search - Property Information,144,0.3,49.0
2.0,NORTH 24 PARGANAS,399,Apply - FPC Enrollment,139,0.3,50.0
2.0,NORTH 24 PARGANAS,480,Apply - Permission for Delayed Registration of Death,132,0.2,51.0
2.0,NORTH 24 PARGANAS,187,Search- Nirmal Bangla scheme,125,0.2,52.0
2.0,NORTH 24 PARGANAS,252,Apply - Renewal of Trade License by NKDA,124,0.2,53.0
2.0,NORTH 24 PARGANAS,272,Apply - Rupashree Prakalpa,119,0.2,54.0
2.0,NORTH 24 PARGANAS,334,Apply - Student Credit Card,117,0.2,55.0
2.0,NORTH 24 PARGANAS,363,Apply - Download and Print Birth Certificate,112,0.2,56.0
2.0,NORTH 24 PARGANAS,96,Search - Taposali Bandhu Pension Scheme,111,0.2,57.0
2.0,NORTH 24 PARGANAS,331,Training Centre details (Paschim Banga Society for Skill Development),102,0.2,58.0
2.0,NORTH 24 PARGANAS,407,Modify - Member Deletion after Receiving Card (Form â D),102,0.2,58.0
2.0,NORTH 24 PARGANAS,146,Apply - Swami Vivekananda Scholarship,101,0.2,59.0
2.0,NORTH 24 PARGANAS,1,Search - Application Status of Kanyasree Prakalpa,97,0.2,60.0
2.0,NORTH 24 PARGANAS,88,Search - Price Information of Daily Market,93,0.2,61.0
2.0,NORTH 24 PARGANAS,84,Search  - Kishan Mandi Information,88,0.2,62.0
2.0,NORTH 24 PARGANAS,192,Application for EWS Certificates,85,0.2,63.0
2.0,NORTH 24 PARGANAS,125,Search  - Payment Status of Paddy Sold,80,0.1,64.0
2.0,NORTH 24 PARGANAS,124,Apply - Farmer Registration Paddy Sale,72,0.1,65.0
2.0,NORTH 24 PARGANAS,195,Apply - Online Trade Registration,71,0.1,66.0
2.0,NORTH 24 PARGANAS,186,Search - Guideline & View Job Card Detail,67,0.1,67.0
2.0,NORTH 24 PARGANAS,366,Apply - Manabik Pension Scheme (Disability Pension Scheme),65,0.1,68.0
2.0,NORTH 24 PARGANAS,479,Apply - Permission for Delayed Registration of Birth,65,0.1,68.0
2.0,NORTH 24 PARGANAS,2,Application for Aikyasree Scholarship,64,0.1,69.0
2.0,NORTH 24 PARGANAS,119,Payment - Tax or Fees,63,0.1,70.0
2.0,NORTH 24 PARGANAS,369,Status - Application of Learners Licence,55,0.1,71.0
2.0,NORTH 24 PARGANAS,400,Apply - Group Enrollment Form other than FPC,54,0.1,72.0
2.0,NORTH 24 PARGANAS,140,Search - Blood Test Report,53,0.1,73.0
2.0,NORTH 24 PARGANAS,166,Apply - Unemployment Allowance Application ,51,0.1,74.0
2.0,NORTH 24 PARGANAS,473,Search - Deed By Seller/Buyer/Party Name,51,0.1,74.0
2.0,NORTH 24 PARGANAS,95,Search - Sikshashree Information,49,0.1,75.0
2.0,NORTH 24 PARGANAS,218,Search - Muktidhara Scheme Information ,48,0.1,76.0
2.0,NORTH 24 PARGANAS,188,Search- Samabyathi Scheme Information,47,0.1,77.0
2.0,NORTH 24 PARGANAS,476,Apply - Disability Certificate,45,0.1,78.0
2.0,NORTH 24 PARGANAS,174,Search - Mass Education & Library Related Schemes Information,43,0.1,79.0
2.0,NORTH 24 PARGANAS,416,Search - Download Marriage Certificate,43,0.1,79.0
2.0,NORTH 24 PARGANAS,477,Apply - Distance Certificate for Students,41,0.1,80.0
2.0,NORTH 24 PARGANAS,175,Apply - Karma Sathi Prakalpa Scheme,40,0.1,81.0
2.0,NORTH 24 PARGANAS,94,Search - Sabuj Sathi Scheme Information,38,0.1,82.0
2.0,NORTH 24 PARGANAS,300,Search - Information about Different Courses (Paschim Banga Society for Skill Development),38,0.1,82.0
2.0,NORTH 24 PARGANAS,404,Search - Blood Bank Information,38,0.1,82.0
2.0,NORTH 24 PARGANAS,474,Search - Deed By Transacted Property Details,35,0.1,83.0
2.0,NORTH 24 PARGANAS,139,Search - COVID Patient Information,33,0.1,84.0
2.0,NORTH 24 PARGANAS,475,Search - Deed by Deed Number & Query Number ,29,0.1,85.0
2.0,NORTH 24 PARGANAS,229,Search - West Bengal Homestay,27,0.1,86.0
2.0,NORTH 24 PARGANAS,482,Search Preferred Colleges & Courses,27,0.1,86.0
2.0,NORTH 24 PARGANAS,241,Info - Jai Johar Pension Scheme Application,24,0.0,87.0
2.0,NORTH 24 PARGANAS,470,Payment - e-Payment Stamp Duty & Registration Fees,24,0.0,87.0
2.0,NORTH 24 PARGANAS,471,Download- e-Assessment Slip & Print,24,0.0,87.0
2.0,NORTH 24 PARGANAS,472,Application - Refund of e-Payment,24,0.0,87.0
2.0,NORTH 24 PARGANAS,421,New Connection (LT) - New Connection Application Status,23,0.0,88.0
2.0,NORTH 24 PARGANAS,365,Apply - Conversion Application,22,0.0,89.0
2.0,NORTH 24 PARGANAS,275,Apply - Grievance to CMO,21,0.0,90.0
2.0,NORTH 24 PARGANAS,343,Apply - New License (CE) Application  (only for KMC),21,0.0,90.0
2.0,NORTH 24 PARGANAS,201,Apply - New Electrical Supervisor License,20,0.0,91.0
2.0,NORTH 24 PARGANAS,228,Search - WBTDCL Properties Booking,20,0.0,91.0
2.0,NORTH 24 PARGANAS,327,Apply - Scholarship of Students with Disabilities,20,0.0,91.0
2.0,NORTH 24 PARGANAS,396,Apply - Pre-Registration Form for Paschim Banga Society for Skill Development(Utkarsh Bangla),20,0.0,91.0
2.0,NORTH 24 PARGANAS,17,Apply - Passport Applications,19,0.0,92.0
2.0,NORTH 24 PARGANAS,469,Apply - New e-Requisition Form,19,0.0,92.0
2.0,NORTH 24 PARGANAS,481,Apply - Redressal of RTI queries & Tracking,19,0.0,92.0
2.0,NORTH 24 PARGANAS,173,Apply - Marriage Certificate ,18,0.0,93.0
2.0,NORTH 24 PARGANAS,346,Apply - Defaulter Renewal Application Demand Printing (CE),18,0.0,93.0
2.0,NORTH 24 PARGANAS,154,Apply - Gorkha Certificate,17,0.0,94.0
2.0,NORTH 24 PARGANAS,497,Apply - Self Certification of Fire Safety,17,0.0,94.0
2.0,NORTH 24 PARGANAS,265,Search - Jal Dharo Jal Bharo Scheme,16,0.0,95.0
2.0,NORTH 24 PARGANAS,342,Search - Printing of Renewal Demand (CE)  (only for KMC),16,0.0,95.0
2.0,NORTH 24 PARGANAS,413,Search - Marriage Record,16,0.0,95.0
2.0,NORTH 24 PARGANAS,483,Registration & Admission,16,0.0,95.0
2.0,NORTH 24 PARGANAS,457,Search - PMSVA Nidhi Scheme,15,0.0,96.0
2.0,NORTH 24 PARGANAS,163,Search - Registration of Transport Workers Pension Scheme Information,14,0.0,97.0
2.0,NORTH 24 PARGANAS,251,Apply - Issuance of Trade License by NKDA,14,0.0,97.0
2.0,NORTH 24 PARGANAS,161,Apply - Building and other Construction Workers Pension Scheme,13,0.0,98.0
2.0,NORTH 24 PARGANAS,185,Search - Anandadhara Scheme,13,0.0,98.0
2.0,NORTH 24 PARGANAS,196,Apply - Citizens Grievance Redressal,13,0.0,98.0
2.0,NORTH 24 PARGANAS,291,Apply - Post-Matric Scholarship Under Talent Support Programme (TSP) Application ,13,0.0,98.0
2.0,NORTH 24 PARGANAS,347,Apply - Closure of Existing (CE) Application  (only for KMC),13,0.0,98.0
2.0,NORTH 24 PARGANAS,414,Search - Application for Objection,13,0.0,98.0
2.0,NORTH 24 PARGANAS,461,Search - Group Loan Status,13,0.0,98.0
2.0,NORTH 24 PARGANAS,157,Search - Firecracker License Information,12,0.0,99.0
2.0,NORTH 24 PARGANAS,198,Apply - New Electricity Connection of LT/HT Application,12,0.0,99.0
2.0,NORTH 24 PARGANAS,417,Status - Application Banglashree Scheme,12,0.0,99.0
2.0,NORTH 24 PARGANAS,130,Search - Food Processing & Horticulture Schemes Information,11,0.0,100.0
2.0,NORTH 24 PARGANAS,220,Apply - WBSSP Application ,11,0.0,100.0
2.0,NORTH 24 PARGANAS,293,Apply - Farm Mechanisation,11,0.0,100.0
2.0,NORTH 24 PARGANAS,307,Apply - Approval of Building/Plan,11,0.0,100.0
2.0,NORTH 24 PARGANAS,415,Apply - Request to Change of Marriage Officer,11,0.0,100.0
2.0,NORTH 24 PARGANAS,423,Apply - Diploma in Pharmacy,11,0.0,100.0
2.0,NORTH 24 PARGANAS,484,eChallan,11,0.0,100.0
2.0,NORTH 24 PARGANAS,486,Apply - Payment of Property Tax at NKDA,11,0.0,100.0
2.0,NORTH 24 PARGANAS,505,Search - Bhabishyat Credit Card Scheme Status (WBBCCS),11,0.0,100.0
2.0,NORTH 24 PARGANAS,234,Apply - Renewal of Driving Licence,10,0.0,101.0
2.0,NORTH 24 PARGANAS,276,Search - Gitanjali Scheme Information,10,0.0,101.0
2.0,NORTH 24 PARGANAS,368,Application for applying learners licence,10,0.0,101.0
2.0,NORTH 24 PARGANAS,171,Apply - Map Service,9,0.0,102.0
2.0,NORTH 24 PARGANAS,202,Apply - Renewal of Electrical Supervisor License,9,0.0,102.0
2.0,NORTH 24 PARGANAS,204,Apply - Renewal of Workman Permit,9,0.0,102.0
2.0,NORTH 24 PARGANAS,233,Apply - Driving Licence,9,0.0,102.0
2.0,NORTH 24 PARGANAS,274,Search - Club Grant,9,0.0,102.0
2.0,NORTH 24 PARGANAS,281,Apply - Pay Now Rent of Flats of Government Housing,9,0.0,102.0
2.0,NORTH 24 PARGANAS,401,Online Application for Defaulter Renewal Application,9,0.0,102.0
2.0,NORTH 24 PARGANAS,412,Apply - Certified Copy of Marriage Records,9,0.0,102.0
2.0,NORTH 24 PARGANAS,153,Search - Transfer Case of Arms License Information,8,0.0,103.0
2.0,NORTH 24 PARGANAS,158, Search - Term Loan Status,8,0.0,103.0
2.0,NORTH 24 PARGANAS,160,Search - Agriculture & Irrigation Schemes,8,0.0,103.0
2.0,NORTH 24 PARGANAS,162,Search - Subscription of Building and other Construction Workers Pension Scheme Information,8,0.0,103.0
2.0,NORTH 24 PARGANAS,246,Apply - Sanction of Water Connection by ADDA,8,0.0,103.0
2.0,NORTH 24 PARGANAS,273,Search - Khelasree Scheme,8,0.0,103.0
2.0,NORTH 24 PARGANAS,348,Modify - Minor Change in Existing CE  (only for KMC),8,0.0,103.0
2.0,NORTH 24 PARGANAS,403,Apply - WBFDC Property Booking,8,0.0,103.0
2.0,NORTH 24 PARGANAS,420,Search - Payment Receipt New Connection (LT),8,0.0,103.0
2.0,NORTH 24 PARGANAS,91,Search - Diary Scheme Information,7,0.0,104.0
2.0,NORTH 24 PARGANAS,101,Search - Right to Public Services Information,7,0.0,104.0
2.0,NORTH 24 PARGANAS,180,Apply - SHG Loan Application,7,0.0,104.0
2.0,NORTH 24 PARGANAS,211,Search - Drinking Water Schemes,7,0.0,104.0
2.0,NORTH 24 PARGANAS,418,Search - Download Certificate of Banglashree Scheme,7,0.0,104.0
2.0,NORTH 24 PARGANAS,425,Search - Payment of Tax (MV),7,0.0,104.0
2.0,NORTH 24 PARGANAS,490,Apply - Renewal of Fire License,7,0.0,104.0
2.0,NORTH 24 PARGANAS,214,Apply - SSC Examination Application,6,0.0,105.0
2.0,NORTH 24 PARGANAS,219,Apply - SVSKP Application ,6,0.0,105.0
2.0,NORTH 24 PARGANAS,313,Search - Counselling for Result for JEXPO,6,0.0,105.0
2.0,NORTH 24 PARGANAS,328,Search - Drainage Demand Print,6,0.0,105.0
2.0,NORTH 24 PARGANAS,336,KYC for citizen  (only for KMC),6,0.0,105.0
2.0,NORTH 24 PARGANAS,338,Apply - Online Mutation Application (only for KMC),6,0.0,105.0
2.0,NORTH 24 PARGANAS,80,Modify  Insecticide License,5,0.0,106.0
2.0,NORTH 24 PARGANAS,207,Apply - Permission for Erection of New Lift,5,0.0,106.0
2.0,NORTH 24 PARGANAS,224,Apply - Registration of Candidates for VOCLET,5,0.0,106.0
2.0,NORTH 24 PARGANAS,250,Search - SWM Demand Print,5,0.0,106.0
2.0,NORTH 24 PARGANAS,282,Search - Working Women Hostel Information,5,0.0,106.0
2.0,NORTH 24 PARGANAS,295,Apply - Merit Scholarship Examination (NMMSE),5,0.0,106.0
2.0,NORTH 24 PARGANAS,314,Search  - Counselling for Result for VOCLET,5,0.0,106.0
2.0,NORTH 24 PARGANAS,419,Payment - New Connection E-Pay New Connection (LT) ,5,0.0,106.0
2.0,NORTH 24 PARGANAS,424,Apply  - Post Diploma in Petrochemical and Medical Electronics,5,0.0,106.0
2.0,NORTH 24 PARGANAS,468,Apply - Registration of Migrant Workers,5,0.0,106.0
2.0,NORTH 24 PARGANAS,502,Apply - Bhabishyat Credit Card Scheme (WBBCCS),5,0.0,106.0
2.0,NORTH 24 PARGANAS,76,Renewal - Seed License,4,0.0,107.0
2.0,NORTH 24 PARGANAS,98,Search - Consumer Rights Information,4,0.0,107.0
2.0,NORTH 24 PARGANAS,108,"Apply - Special Compassionate Appointment (Covid-19) Scheme, 2020",4,0.0,107.0
2.0,NORTH 24 PARGANAS,118,Apply - Excise Crime Reporting - Citizen,4,0.0,107.0
2.0,NORTH 24 PARGANAS,120,Apply - Renewal of Fire Safety Certificate,4,0.0,107.0
2.0,NORTH 24 PARGANAS,152,Apply - Refinance of Term Loan,4,0.0,107.0
2.0,NORTH 24 PARGANAS,159,Apply - Lok Prasar Scheme,4,0.0,107.0
2.0,NORTH 24 PARGANAS,167,"Apply - Shops & Establishment, Register - New/ Renewal of Certificate for Registration",4,0.0,107.0
2.0,NORTH 24 PARGANAS,179,Apply - Fresh Term Loan Application,4,0.0,107.0
2.0,NORTH 24 PARGANAS,200,Apply - New Workman Permit,4,0.0,107.0
2.0,NORTH 24 PARGANAS,208,Apply - New Lift Attendant Authorization,4,0.0,107.0
2.0,NORTH 24 PARGANAS,289,Search - Admit Card download & Printing for JEXPO,4,0.0,107.0
2.0,NORTH 24 PARGANAS,304,Apply - Micro Finance Loan Minorities of West Bengal,4,0.0,107.0
2.0,NORTH 24 PARGANAS,332,Search - Unpaid Water Supply Demand Print,4,0.0,107.0
2.0,NORTH 24 PARGANAS,337,Search - Print Duplicate Bill of PD (only for KMC),4,0.0,107.0
2.0,NORTH 24 PARGANAS,340,Search - Download NOC (only for KMC),4,0.0,107.0
2.0,NORTH 24 PARGANAS,341,Apply - Assessment Register Printing  (only for KMC),4,0.0,107.0
2.0,NORTH 24 PARGANAS,349,dashboard for online building permit and other eodb related services  (only for KMC),4,0.0,107.0
2.0,NORTH 24 PARGANAS,378,Apply - New Conductor Licence Application ,4,0.0,107.0
2.0,NORTH 24 PARGANAS,380,Search Status of Seed License,4,0.0,107.0
2.0,NORTH 24 PARGANAS,411,Online Request for Certificate Copy by Citizens,4,0.0,107.0
2.0,NORTH 24 PARGANAS,492,Apply - Issuance of Revised Fire Safety Recommendation,4,0.0,107.0
2.0,NORTH 24 PARGANAS,10,Apply - Online Application for WBPRB,3,0.0,108.0
2.0,NORTH 24 PARGANAS,178,Apply - Educational Loan Application,3,0.0,108.0
2.0,NORTH 24 PARGANAS,183,Modify - Term Loan Application,3,0.0,108.0
2.0,NORTH 24 PARGANAS,247,Apply - Sanction of Water Connection  for Industrial Building in Municipal Areas,3,0.0,108.0
2.0,NORTH 24 PARGANAS,305,Apply - National Talent Search Examination (NTSE),3,0.0,108.0
2.0,NORTH 24 PARGANAS,355,Download - Payment for Quotation Letter of New Connection WBSEDCL,3,0.0,108.0
2.0,NORTH 24 PARGANAS,371,Search - Application Status of Certificate of Non-Forest Land,3,0.0,108.0
2.0,NORTH 24 PARGANAS,386,Search - Insecticide License Status ,3,0.0,108.0
2.0,NORTH 24 PARGANAS,422,Search - Welcome Letter New Connection (LT),3,0.0,108.0
2.0,NORTH 24 PARGANAS,458,Apply - Group Loan and Fresh Loan,3,0.0,108.0
2.0,NORTH 24 PARGANAS,487,Apply - Assessment of Property Tax at NKDA,3,0.0,108.0
2.0,NORTH 24 PARGANAS,493,Apply - Registration of Association of Apartment Owners,3,0.0,108.0
2.0,NORTH 24 PARGANAS,496,Search - Discover Your Eligible Schemes,3,0.0,108.0
2.0,NORTH 24 PARGANAS,73,Apply - Fertilizer License Application,2,0.0,109.0
2.0,NORTH 24 PARGANAS,74,Fertilizer license renewal/modification,2,0.0,109.0
2.0,NORTH 24 PARGANAS,79,New Insecticide License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,90,Apply e-permit (agrimarket),2,0.0,109.0
2.0,NORTH 24 PARGANAS,106,Apply - Change of name in Cooperative Society,2,0.0,109.0
2.0,NORTH 24 PARGANAS,109,Apply - PSC Job Application,2,0.0,109.0
2.0,NORTH 24 PARGANAS,111,Deed - Certified Copy,2,0.0,109.0
2.0,NORTH 24 PARGANAS,115,Payment - Excise Duty Fee,2,0.0,109.0
2.0,NORTH 24 PARGANAS,182,Apply - Construction of Boundary Wall,2,0.0,109.0
2.0,NORTH 24 PARGANAS,203,Apply - Contractors License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,209,Apply - New Lift Owners License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,217,Apply - NOC for self-financed schools Application,2,0.0,109.0
2.0,NORTH 24 PARGANAS,248,Apply - Sanction of Water Connection by SJDA,2,0.0,109.0
2.0,NORTH 24 PARGANAS,296,Search - Entrance Result of Admission in Government ITI,2,0.0,109.0
2.0,NORTH 24 PARGANAS,302,Apply - Jaago,2,0.0,109.0
2.0,NORTH 24 PARGANAS,315,Online fee submission for JEXPO,2,0.0,109.0
2.0,NORTH 24 PARGANAS,316,Payment - Fee Submission for VOCLET,2,0.0,109.0
2.0,NORTH 24 PARGANAS,350,Online application for water tanker,2,0.0,109.0
2.0,NORTH 24 PARGANAS,383,Renewal - Fertilizer License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,384,Search - Fertilizer License Status ,2,0.0,109.0
2.0,NORTH 24 PARGANAS,385,Download - Certificate of Fertilizer License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,387,Download - Certificate of Insecticide License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,398,Apply - Recognition of Service Providers,2,0.0,109.0
2.0,NORTH 24 PARGANAS,432,Apply - BENFISH Property Booking,2,0.0,109.0
2.0,NORTH 24 PARGANAS,459,Modify - Group Loan Application,2,0.0,109.0
2.0,NORTH 24 PARGANAS,489,Apply - Grant of Fire License,2,0.0,109.0
2.0,NORTH 24 PARGANAS,494,Apply - Form -B under West Bengal Apartment Ownership act 1972,2,0.0,109.0
2.0,NORTH 24 PARGANAS,495,Apply - Form -C under West Bengal Apartment Ownership act 1972,2,0.0,109.0
2.0,NORTH 24 PARGANAS,503,Edit - Bhabishyat Credit Card Scheme (WBBCCS) ,2,0.0,109.0
2.0,NORTH 24 PARGANAS,78,Renew Insecticide License,1,0.0,110.0
2.0,NORTH 24 PARGANAS,87,Apply - Application for Farm Produce Transport,1,0.0,110.0
2.0,NORTH 24 PARGANAS,89,Register - Online Marketing (Farming),1,0.0,110.0
2.0,NORTH 24 PARGANAS,92,Search - Livestock Scheme,1,0.0,110.0
2.0,NORTH 24 PARGANAS,99,Register - For e-Parimap ,1,0.0,110.0
2.0,NORTH 24 PARGANAS,102,Search - Cooperative information,1,0.0,110.0
2.0,NORTH 24 PARGANAS,105,Register - Cooperative Society,1,0.0,110.0
2.0,NORTH 24 PARGANAS,107,Search - Cooperative Society Finance Rules,1,0.0,110.0
2.0,NORTH 24 PARGANAS,110,Deed e-Registration,1,0.0,110.0
2.0,NORTH 24 PARGANAS,112,Valuation - Stamp Duty Information,1,0.0,110.0
2.0,NORTH 24 PARGANAS,113,Apply - New Excise License,1,0.0,110.0
2.0,NORTH 24 PARGANAS,114,Renewal - Excise License,1,0.0,110.0
2.0,NORTH 24 PARGANAS,117,Register - Retail Liquor Outlet,1,0.0,110.0
2.0,NORTH 24 PARGANAS,121,Apply - Issuance of Fire Safety Certificate,1,0.0,110.0
2.0,NORTH 24 PARGANAS,210,Apply - Renewal of Lift Owners License,1,0.0,110.0
2.0,NORTH 24 PARGANAS,311,Apply - Counselling of Choice Filling Up for VOCLET,1,0.0,110.0
2.0,NORTH 24 PARGANAS,317,Online fee submission in Government ITI,1,0.0,110.0
2.0,NORTH 24 PARGANAS,320,Apply - Provisional Admission for JEXPO,1,0.0,110.0
2.0,NORTH 24 PARGANAS,324,Apply - Registration of Candidates for JEXPO,1,0.0,110.0
2.0,NORTH 24 PARGANAS,339,online application for mail address change   (only for KMC),1,0.0,110.0
2.0,NORTH 24 PARGANAS,351,Online water connection (domestic),1,0.0,110.0
2.0,NORTH 24 PARGANAS,370,Apply - Certificate of Non-Forest Land,1,0.0,110.0
2.0,NORTH 24 PARGANAS,381,Download Certificate - Seed License,1,0.0,110.0
2.0,NORTH 24 PARGANAS,409,Apply - Filing of Affidavits by Citizen,1,0.0,110.0
2.0,NORTH 24 PARGANAS,410,Online Deposit of Rent by Tenants,1,0.0,110.0
2.0,NORTH 24 PARGANAS,430,Search - Print Unpaid Bills and F/S Bill ,1,0.0,110.0
2.0,NORTH 24 PARGANAS,431,Print - Unpaid Bills of Outstanding LOI ,1,0.0,110.0
2.0,NORTH 24 PARGANAS,460,Apply - Refinance of Group Loan,1,0.0,110.0
2.0,NORTH 24 PARGANAS,462,Apply - Fitness Renewal,1,0.0,110.0
2.0,NORTH 24 PARGANAS,498,Property Tax (HMC) ,1,0.0,110.0
2.0,NORTH 24 PARGANAS,500,Apply - One-time financial assistance to viable & potentially viable PWCS ,1,0.0,110.0
2.0,NORTH 24 PARGANAS,506,Apply - New Trade License ,1,0.0,110.0
2.0,NORTH 24 PARGANAS,507, Apply - Renewal of Trade License,1,0.0,110.0
3.0,SOUTH 24 PARGANAS,199,Apply - Payment of WBSEDCL Electricity Bill,4893,16.3,1.0
3.0,SOUTH 24 PARGANAS,352,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4387,14.6,2.0
3.0,SOUTH 24 PARGANAS,128,Apply - Aadhaar & Mobile Link with Digital Ration Card,3469,11.6,3.0
3.0,SOUTH 24 PARGANAS,392,Modify - Add member / FPS of Ration Card Holder,2078,6.9,4.0
3.0,SOUTH 24 PARGANAS,6,Caste Certificate,1805,6.0,5.0
3.0,SOUTH 24 PARGANAS,4,Application for Income Certificates,1738,5.8,6.0
3.0,SOUTH 24 PARGANAS,22,Apply - Land Revenue (Khajna),1594,5.3,7.0
3.0,SOUTH 24 PARGANAS,127,Search - Application Status of Digital Ration Card Application,1501,5.0,8.0
3.0,SOUTH 24 PARGANAS,358,Search - Download of e-Ration Card,1190,4.0,9.0
3.0,SOUTH 24 PARGANAS,408,Search - Status of Application of Swasthya Sathi Card,1091,3.6,10.0
3.0,SOUTH 24 PARGANAS,126,Apply - New Digital Ration Card,1009,3.4,11.0
3.0,SOUTH 24 PARGANAS,131,Apply for Birth & Death Certificate,893,3.0,12.0
3.0,SOUTH 24 PARGANAS,275,Apply - Grievance to CMO,888,3.0,13.0
3.0,SOUTH 24 PARGANAS,267,Info - Old Age Pension Scheme,565,1.9,14.0
3.0,SOUTH 24 PARGANAS,155,Apply - Submission of Form for Electoral Roll,553,1.8,15.0
